smiles,ee
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,89.2
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,97.6
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,96.6
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,89.8
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,99.2
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,98.2
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,72.8
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,94.8
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,80.6
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,70
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,95.5
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,93.3
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,76
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,89.4
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC1CCCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,93.7
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCc1ccccc1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,94.2
c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,93.1
